Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
6,0,43,0,7.16,5,1,,v India,Leeds,17 Jul 2018,ODI # 4018
TDNB,-,-,-,-,-,-,,v Sri Lanka,Dambulla,10 Oct 2018,ODI # 4052
DNB,-,-,-,-,-,2,,v Sri Lanka,Dambulla,13 Oct 2018,ODI # 4053
4,0,21,0,5.25,6,1,,v Sri Lanka,Pallekele,17 Oct 2018,ODI # 4054
4,0,27,0,6.75,6,1,,v Sri Lanka,Pallekele,20 Oct 2018,ODI # 4055
5,0,34,0,6.8,7,1,,v Sri Lanka,Colombo (RPS),23 Oct 2018,ODI # 4058
8,0,37,3,4.62,5,1,,v West Indies,Bridgetown,20 Feb 2019,ODI # 4096
10,1,62,1,6.2,5,1,,v West Indies,Bridgetown,22 Feb 2019,ODI # 4097
8,0,77,1,9.62,4,2,,v West Indies,St George's,27 Feb 2019,ODI # 4099
DNB,-,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,ODI # 4103
3,0,13,0,4.33,4,1,,v Pakistan,The Oval,8 May 2019,ODI # 4130
2,0,15,0,7.5,6,2,,v Pakistan,Southampton,11 May 2019,ODI # 4133
4,0,34,0,8.5,6,1,,v Pakistan,Bristol,14 May 2019,ODI # 4135
4,0,22,0,5.5,6,1,,v Pakistan,Nottingham,17 May 2019,ODI # 4138
4,0,28,0,7,4,2,,v Pakistan,Leeds,19 May 2019,ODI # 4140
2.5,0,12,2,4.23,6,2,,v South Africa,The Oval,30 May 2019,ODI # 4143
7,0,43,0,6.14,5,1,,v Pakistan,Nottingham,3 Jun 2019,ODI # 4148
6,1,23,3,3.83,6,2,,v Bangladesh,Cardiff,8 Jun 2019,ODI # 4153
4,0,25,0,6.25,5,1,,v West Indies,Southampton,14 Jun 2019,ODI # 4158
4,0,12,0,3,5,2,,v Afghanistan,Manchester,18 Jun 2019,ODI # 4163
5,0,16,0,3.2,4,1,,v Sri Lanka,Leeds,21 Jun 2019,ODI # 4168
6,0,29,1,4.83,4,1,,v Australia,Lord's,25 Jun 2019,ODI # 4173
