Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
101,-,83,12,2,121.68,1,caught,2,,v Australia,Chester-le-Street,21 Jun 2018,ODI # 4012
1,-,3,0,0,33.33,1,bowled,2,,v Australia,Manchester,24 Jun 2018,ODI # 4013
38,-,35,6,0,108.57,1,caught,1,,v India,Nottingham,12 Jul 2018,ODI # 4014
40,-,42,4,1,95.23,1,caught,1,,v India,Lord's,14 Jul 2018,ODI # 4016
24,-,27,4,0,88.88,1,caught,1,,v Sri Lanka,Dambulla,10 Oct 2018,ODI # 4052
0,3,4,0,0,0,1,caught,1,,v Sri Lanka,Dambulla,13 Oct 2018,ODI # 4053
41,-,26,3,2,157.69,1,lbw,2,,v Sri Lanka,Pallekele,17 Oct 2018,ODI # 4054
45,-,49,5,1,91.83,1,lbw,2,,v Sri Lanka,Pallekele,20 Oct 2018,ODI # 4055
4,-,6,1,0,66.66,1,bowled,2,,v Sri Lanka,Colombo (RPS),23 Oct 2018,ODI # 4058
123,118,85,15,3,144.7,1,caught,2,,v West Indies,Bridgetown,20 Feb 2019,ODI # 4096
2,11,4,0,0,50,1,bowled,2,,v West Indies,Bridgetown,22 Feb 2019,ODI # 4097
TDNB,-,-,-,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,ODI # 4098
87,131,98,6,3,88.77,1,caught,1,,v Pakistan,Southampton,11 May 2019,ODI # 4133
76,85,55,8,4,138.18,1,caught,2,,v Pakistan,Bristol,14 May 2019,ODI # 4135
114,123,89,11,4,128.08,1,caught,2,,v Pakistan,Nottingham,17 May 2019,ODI # 4138
54,80,53,8,0,101.88,1,caught,1,,v South Africa,The Oval,30 May 2019,ODI # 4143
8,11,7,2,0,114.28,1,lbw,2,,v Pakistan,Nottingham,3 Jun 2019,ODI # 4148
153,153,121,14,5,126.44,1,caught,1,,v Bangladesh,Cardiff,8 Jun 2019,ODI # 4153
DNB,-,-,-,-,-,-,-,2,,v West Indies,Southampton,14 Jun 2019,ODI # 4158
